Subscription_ID__c,Assessed_Machines__c,Asset__c,CreatedById,Current_Licence__c,Customer_Name__c,Deployment_Date__c,Name,Deployment_Status__c,Deployment_Type__c,Discovered_Machines__c,Install_Date__c,LastModifiedById,Last_Updated__c,Licence_GUID__c,Managed_App_Location__c,OwnerId,Provisioning_Status__c,Renewal_Date__c,Renewal_Licence__c
f0e1607b-4658-4abf-b6a8-5df6a5447929,28,02iJ1000000HRSSIA4,0055g00000GCXjLAAX,Microsoft Funded,PCMICorp,2024-06-24T18:52:00.000+0000,90223ba2-3417-4232-a92e-00cc123debb4,Active,SaaS,28,2024-06-24T14:00:00.000+0000,0055g00000GCXjLAAX,2024-10-16T19:00:14.000+0000,ADEC62E6-6931-F05C-24F5-86566EF7E585,eastus,0055g00000GCXjLAAX,Succeeded,2024-10-29T13:00:00.000+0000,Not Appliable
10a0700e-a76a-462c-a11c-9af0bd677313,471,02iJ1000000HQhEIAW,0055g00000GCXjLAAX,Hibernate Monthly,EverestGlobal,2023-10-12T09:25:01.000+0000,07974911-3a5f-4e06-82ef-05152fb0ad47,Removed,MarketPlace,471,2023-10-11T13:00:00.000+0000,0055g00000GCXjLAAX,2024-10-11T01:00:07.000+0000,0B3245EA-DCB7-4008-A826-09BAB61A0D6A,eastus2,0055g00000GCXjLAAX,Succeeded,2024-11-04T13:00:00.000+0000,Hibernate Monthly
f0e1607b-4658-4abf-b6a8-5df6a5447929,507,02i5g00000CFSHfAAP,0055g00000GCXjLAAX,Microsoft Funded,LANDMARKCREDITUNION,2024-04-21T17:20:23.000+0000,8f88a302-2dc3-4afe-82c2-17796eb7a594,Removed,SaaS,523,2024-04-21T14:00:00.000+0000,0055g00000GCXjLAAX,2024-10-01T08:00:11.000+0000,8F3DC4F7-6D1C-1046-1125-AEC6F4787769,eastus,0055g00000GCXjLAAX,Succeeded,2024-07-20T14:00:00.000+0000,Not Applicable
f0e1607b-4658-4abf-b6a8-5df6a5447929,97,,0055g00000GCXjLAAX,Microsoft Funded,PepperGroupLimited,2024-04-17T14:08:05.000+0000,c530543e-34ab-497e-9e35-948a03e8467d,Removed,SaaS,97,2024-04-17T14:00:00.000+0000,0055g00000GCXjLAAX,2024-10-01T10:00:14.000+0000,,australiasoutheast,0055g00000GCXjLAAX,Succeeded,2024-07-16T14:00:00.000+0000,Not Applicable
f0e1607b-4658-4abf-b6a8-5df6a5447929,2738,,0055g00000GCXjLAAX,Microsoft Funded,USA-rv006,2024-09-22T21:11:32.000+0000,1fcf0fb1-283f-47b7-913e-9d4cf5ff99b2,Active,SaaS,2738,2024-09-22T14:00:00.000+0000,0055g00000GCXjLAAX,2024-10-16T19:00:15.000+0000,,eastus,0055g00000GCXjLAAX,Succeeded,2025-01-27T13:00:00.000+0000,Not Applicable
f0e1607b-4658-4abf-b6a8-5df6a5447929,315,02iJ1000000HQN1IAO,0055g00000GCXjLAAX,Microsoft Funded,HoGent(HigherEducationVlaanderen),2024-05-20T18:43:39.000+0000,4f28abc1-5ccb-4486-9b20-c6517dfc3a50,Active,SaaS,315,2024-05-20T14:00:00.000+0000,0055g00000GCXjLAAX,2024-10-16T19:00:13.000+0000,21AF119F-E9D5-9E59-D71D-7339E32728A9,westeurope,0055g00000GCXjLAAX,Succeeded,2024-09-24T14:00:00.000+0000,Not Appliable
f0e1607b-4658-4abf-b6a8-5df6a5447929,81,02iJ1000000HSN6IAO,0055g00000GCXjLAAX,Microsoft Funded,SahaviriyaSteelIndustriesPublicCoLtd,2024-07-17T16:13:53.000+0000,92ce0011-f021-4492-ab15-cc1b3b53c422,Active,SaaS,81,2024-07-17T14:00:00.000+0000,0055g00000GCXjLAAX,2024-10-16T19:00:15.000+0000,A9178863-AED7-05E3-0575-1AEBACC10745,southeastasia,0055g00000GCXjLAAX,Succeeded,2024-11-21T13:00:00.000+0000,Not Appliable
352849df-2a2f-4f95-8431-9f8c0b56ab95,5139,02i5g000000vj4wAAA,0055g00000GCXjLAAX,Partner Fixed Annual,HeidelbergMaterials,2024-04-11T23:16:10.000+0000,d7c45d7a-c94b-4082-9c0f-cd0a2c9daee4,Active,MarketPlace,5228,2024-04-11T14:00:00.000+0000,0055g00000GCXjLAAX,2024-10-16T19:00:06.000+0000,22911C5B-6B0E-291D-C1DF-586F83180415,westeurope,0055g00000GCXjLAAX,Succeeded,2026-06-29T14:00:00.000+0000,Standard Monthly
0a87ff54-eb11-45df-a260-974ad50bf65c,0,02i5g00000CCkhgAAD,0055g00000GCXjLAAX,,,2024-01-12T06:29:07.000+0000,b2e85ea8-3b66-4d49-b200-cd187b6200eb,Active,MarketPlace,0,,0055g00000GCXjLAAX,2024-10-16T19:00:06.000+0000,,centralus,0055g00000GCXjLAAX,Failed,,
4630ed31-c1b8-4476-a49f-d291cccc41bd,1584,,0055g00000GCXjLAAX,Hibernate Monthly,Orrick,2023-09-27T10:25:28.000+0000,466c32a0-162d-4aa7-9b9c-d3135a7630ed,Removed,MarketPlace,1593,2023-09-27T10:25:30.000+0000,0055g00000GCXjLAAX,2024-06-13T08:00:06.000+0000,7979DC81-ECE0-CD09-A3B0-9E341EC17226,centralus,0055g00000GCXjLAAX,Succeeded,2024-06-20T14:00:00.000+0000,Hibernate Monthly
